Group,Sector,Project/Location,State,Year,Status,GOI_Support_Type,Support_Note,Modi_Era,Latitude,Longitude,Details,Source_URLs,Source_Note,Verification_Status,Last_Updated
Adani,Port,Mundra Port,Gujarat,2001,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",No,22.8395,69.7032,"India's largest private port, 250+ MMT capacity",https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Dahej Port,Gujarat,2010,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",No,21.7138,72.5619,"LNG terminal, multipurpose port",https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Hazira Port,Gujarat,2012,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",No,21.1289,72.6347,Multipurpose port near Surat,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Dhamra Port,Odisha,2014,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,20.78,86.9,"Acquired from Tata-L&T JV, ₹5,500 Cr",https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Kattupalli Port,Tamil Nadu,2013,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",No,13.25,80.3333,Container and bulk cargo,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Krishnapatnam Port,Andhra Pradesh,2021,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,14.2833,80.1333,75% stake acquisition,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Gangavaram Port,Andhra Pradesh,2021,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,17.63,83.21,58.1% stake from DVS Raju,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Ennore Container Terminal,Tamil Nadu,2018,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,13.22,80.32,Kamarajar Port,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Vizhinjam Port,Kerala,2015,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,8.38,76.94,India's first transshipment port. Commercial operations began Dec 2024 (India's first deep-draft transshipment port).,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-07-08
Adani,Port,Gopalpur Port,Odisha,2024,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,19.27,84.91,"Acquired, dry bulk cargo",https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
